,Accuracy,F1 Score,PR AUC
Logistic Regression,0.8115,0.36065573770491804,0.48682918007780884
Random Forest Classifier,0.8148333333333333,0.46146388754241396,0.5134446959768434
Decision Tree Classifier,0.7306666666666667,0.39925650557620823,0.2890901215515269
K-Nearest Neighbors,0.798,0.4470802919708029,0.41660496800363034
Gaussian Naive Bayes,0.724,0.4984857662023017,0.48098077890037705
Linear Discriminant Analysis,0.8103333333333333,0.3677777777777778,0.4804759234161194
AdaBoost Classifier,0.8156666666666667,0.4257528556593977,0.5234298793408361
Gradient Boosting Classifier,0.8208333333333333,0.4680851063829787,0.5459245247705501
XGBoost Classifier,0.8168333333333333,0.4693384838242395,0.5184884548633066
