,Accuracy,F1 Score,ROC AUC,Recall,Precision,PR AUC
Logistic Regression,0.8168333333333333,0.4372759856630825,0.7613570682370628,0.32520944402132523,0.6671875,0.5130659708957399
Random Forest Classifier,0.8161666666666667,0.4616886285993167,0.7591511969959203,0.3602437166793602,0.6426630434782609,0.5149293451508552
Decision Tree Classifier,0.7263333333333334,0.3827067669172932,0.6048645188820141,0.38766184310738766,0.37787676317743135,0.2807316396250441
K-Nearest Neighbors,0.795,0.4409090909090909,0.7034749256219216,0.3693830921553694,0.5467869222096956,0.4197396446674167
Gaussian Naive Bayes,0.7656666666666667,0.5097629009762901,0.7458567400781699,0.5567402894135567,0.470096463022508,0.48341103710889494
Linear Discriminant Analysis,0.8196666666666667,0.4643564356435644,0.7575676820607501,0.3571972581873572,0.6633663366336634,0.5117838827258787
AdaBoost Classifier,0.8153333333333334,0.4235171696149844,0.7762876885085563,0.30997715156131,0.6683087027914614,0.5247647859929081
Gradient Boosting Classifier,0.8198333333333333,0.4645864289252105,0.7813591611741961,0.3571972581873572,0.6643059490084986,0.547847402743348
XGBoost Classifier,0.8143333333333334,0.46493756003842457,0.7631011283498572,0.3686214775323686,0.6293888166449935,0.5219345828970757
